appId,total_reviews,positive_ratio,review_score
730,1408661,0.8573737755215769,8
578080,278379,0.633977419273724,5
271590,576232,0.83985790445515,8
105600,581397,0.9766304263695891,9
359550,627387,0.830916164982698,8
252490,512995,0.8677979317537208,8
440,26716,0.7569246893247492,6
4000,518961,0.970965062885265,9
2358720,67291,0.9399771143243525,8
1245620,421527,0.9427272748839339,8
553850,604256,0.8312983238892125,8
1172470,1035,0.7922705314009661,6
550,223076,0.9756988649608205,9
431960,220020,0.9813880556313063,9
413150,376410,0.9889189979012247,9
227300,137077,0.9754955244132859,9
1091500,365431,0.8854475947579707,8
292030,232312,0.9679827129033369,9
381210,247747,0.7969137870488845,6
739630,345941,0.9610367085716929,9
1086940,433805,0.968370581251945,9
236390,809,0.6798516687268232,5
1174180,284360,0.9175727950485301,8
346110,252132,0.8075095584852379,8
1938090,230575,0.5723820882576168,5
945360,368420,0.9229982085663102,8
218620,173638,0.8723148158813163,8
242760,174368,0.953110662506882,9
230410,1139,0.8797190517998245,8
1085660,77710,0.7778535581006305,6
252950,226133,0.8669632472925225,8
304930,2858,0.9013296011196641,8
892970,252026,0.9479220397895455,8
322330,80026,0.9563017019468673,9
582010,112715,0.9232222862972985,8
1966720,272241,0.9746768488214487,9
1097150,148527,0.8379486557999556,8
239140,94732,0.9421948232909682,8
620,167468,0.988553036998113,9
221100,173376,0.7398025101513473,6
322170,240094,0.9357335043774522,8
367520,171189,0.9706289539631635,9
374320,104468,0.9404698089367078,8
377160,178573,0.8091312796447391,8
291550,1575,0.8292063492063492,8
1623730,148243,0.9544261786391263,9
108600,142945,0.9414250236104795,8
251570,123022,0.854278096600608,8
1172620,143739,0.8927848391876944,8
960090,220288,0.9734756319000581,9
275850,176731,0.8133887093945035,8
289070,104711,0.8488888464440221,8
444090,3284,0.7783191230207065,6
648800,126354,0.9372398182883012,8
250900,138926,0.9720858586585664,9
548430,167527,0.978916831316743,9
394360,118330,0.9125327474013353,8
489830,123474,0.9470495812883684,8
1203220,12910,0.8187451587916343,8
284160,189257,0.9768410151275778,9
814380,84334,0.9387317096307539,8
990080,138673,0.9139197969323517,8
72850,101746,0.9244982603738722,8
264710,172088,0.9684521872530333,9
632360,157818,0.9523501755186354,9
1517290,106033,0.4666566069053974,5
49520,121625,0.9034491264131552,8
1293830,53678,0.8937367264056038,8
1063730,145665,0.6679778944839185,5
107410,109370,0.9165401846941574,8
1118200,169809,0.9876684981361412,9
1145360,137995,0.9844849451067068,9
255710,98081,0.930098591980098,8
391540,156427,0.9665339103863144,9
261550,95079,0.8709178682989934,8
1237970,91414,0.9552803728094165,9
1326470,110780,0.8821899259794187,8
1794680,125232,0.9850357736041906,9
1238810,33790,0.709499852027227,6
10,34219,0.9665682807796838,9
594650,92417,0.7696311284720344,6
203160,50496,0.944253010139417,8
220,86801,0.9742168869022246,9
976730,158873,0.9193884423407376,8
438100,110,0.8363636363636363,8
1144200,139671,0.7543584566588626,6
238960,545,0.9192660550458716,8
526870,128182,0.9755113822533585,9
22380,163114,0.9618671603908923,9
1468810,3644,0.7884193194291986,6
1551360,87938,0.8866815256203234,8
2246340,78624,0.6795762108262108,5
1426210,45001,0.959223128374925,9
427520,112913,0.982836343025161,9
311210,113547,0.9016442530405911,8
700330,,,0
477160,30201,0.952352571106917,9
698780,211,0.985781990521327,8
393380,81498,0.8425237429139365,8
294100,114357,0.9795727415024879,9
379720,82460,0.9558695124909047,9
782330,118974,0.9113251634810967,8
8930,77598,0.9549472924559911,9
3164500,177675,0.980385535387646,9
433850,37515,0.5122484339597494,5
1599340,38979,0.6957079453038816,5
534380,66865,0.7834442533462947,6
1238840,42158,0.8632288059205845,8
435150,81579,0.9529658367962344,9
268910,61584,0.962246687451286,9
3241660,118713,0.9686302258387877,9
281990,74045,0.8691201296508879,8
646570,72246,0.9764692854967749,9
240,43975,0.9609096077316657,9
2050650,56892,0.9633164592561344,9
400,79924,0.9870627095740954,9
518790,60332,0.9028707816747331,8
1240440,27923,0.6768255559932672,5
270880,89631,0.9733462752842209,9
901583,67574,0.8106964217006541,8
12210,67574,0.8106964217006541,8
552520,67618,0.8032476559495992,8
883710,49290,0.9690606613917631,9
812140,57181,0.8948252041762124,8
1222670,45765,0.8753414181142795,8
1229490,129354,0.9783462436414799,9
319630,53689,0.964145355659446,9
1222140,49000,0.9496530612244898,8
2694490,88833,0.7571285445723999,6
588650,43026,0.9638358202017385,9
48700,54478,0.9769998898637983,9
1716740,83221,0.5756479734682352,5
211820,51631,0.8882066975266797,8
2183900,86353,0.8622282954848124,8
813780,58880,0.9505944293478261,9
379430,60121,0.8368290613928577,8
1172380,80311,0.8892679707636563,8
1593500,57331,0.966457937241632,9
1332010,76181,0.9735629618933855,9
306130,72843,0.8170997899592274,8
2379780,96216,0.9814583852997423,9
1782210,,,0
1811260,35627,0.6074044965896651,5
244210,56793,0.9301674502139348,8
304390,55486,0.6982301841906067,5
262060,55337,0.9078555035509696,8
397540,59194,0.8130553772341791,8
70,56330,0.9650097638913545,9
444200,223,0.7085201793721974,6
552990,817,0.7772337821297429,6
601150,36878,0.9560713704647757,9
2881650,31824,0.9389454499748617,8
671860,78020,0.8249551397077672,8
227940,952,0.5535714285714286,5
8870,46734,0.9117986904609064,8
524220,48136,0.9006149243809207,8
208650,48016,0.9204640119960014,8
3590,40832,0.9822443181818182,9
433340,63707,0.9810695841901204,9
686810,60457,0.839108788064244,8
1057090,30268,0.9684485264966302,9
391220,30293,0.925527349552702,8
508440,80170,0.9809903954097543,9
236850,47213,0.8733187893165019,8
552500,43358,0.9003413441579409,8
1222680,48810,0.8490678139725466,8
244850,66855,0.8987809438336699,8
1092790,74057,0.9691048786745344,9
1868140,46948,0.9679432563687485,9
570940,45864,0.917495203209489,8
361420,52675,0.9162221167536783,8
457140,47683,0.9601535138309251,9
1677740,305,0.8655737704918033,8
362890,68313,0.9493800594323188,8
220200,74423,0.957674374857235,9
581320,58745,0.8649076517150396,8
1158310,47457,0.9065469793707989,8
232090,41709,0.8824474334076579,8
238320,27515,0.9609304015991278,9
204360,44155,0.9701279583286151,9
1151640,51340,0.8966497857421114,8
1289310,163,0.9938650306748467,8
222880,35621,0.9227702759608096,8
